House,Date, Event,Points
Agni,March 1 2023,Football cup winners,120
Vayu,March 1 2023,Football cup runner-up,50
Jal,March 20 2023,Dance competition winners,100
Bhoomi,March 21 2023,Model UN winners,75
Agni,March 25 2023,Debate competition 3rd place,10
Vayu,March 25 2023,Debate competition runner-up,20
Jal,April 2 2023,Debate competition winners,30
Bhoomi,April 10 2023,Basketball Winners,120
Agni,April 12 2023,Model UN runner up,25
Vayu,April 10 2023,Basketball runner up,50
Jal,May 5 2023,Swimming 100m gold medal,50
Bhoomi,May 5 2023,Running 100m goal medal,50